OTIMIZACAO 5D ETHUSDT 1h
--------------------------------------------------------------------------------
Dist  Stop  Nota  EMA   Min%  Lucro       Win%    
0.0   1.5   40    100   0.1   -57.18      40.0    
0.0   1.5   40    100   0.2   -57.18      40.0    
2.0   3.0   20    80    0.0   -57.45      67.7    
2.0   3.0   20    90    0.0   -57.45      67.7    
2.0   3.0   30    80    0.0   -57.45      67.7    
2.0   3.0   30    90    0.0   -57.45      67.7    
1.0   2.5   40    90    0.0   -57.99      61.1    
1.0   2.5   40    100   0.0   -58.67      61.1    
1.0   3.5   40    100   0.0   -59.26      64.7    
0.0   2.0   40    80    0.0   -59.56      50.0    
0.0   2.0   40    80    0.1   -59.56      50.0    
0.0   2.0   40    80    0.2   -59.56      50.0    
0.0   2.0   40    90    0.0   -59.56      50.0    
0.0   2.0   40    90    0.1   -59.56      50.0    
0.0   2.0   40    90    0.2   -59.56      50.0    
1.0   2.5   20    80    0.0   -60.70      62.2    
1.0   2.5   30    80    0.0   -60.70      62.2    
2.0   3.5   40    80    0.0   -61.01      67.7    
2.0   3.5   40    90    0.0   -61.01      67.7    
2.0   3.0   20    100   0.0   -61.30      67.7    
2.0   3.0   30    100   0.0   -61.30      67.7    
0.0   1.5   20    80    0.0   -62.63      55.6    
0.0   1.5   20    80    0.1   -62.63      55.6    
0.0   1.5   20    80    0.2   -62.63      55.6    
0.0   1.5   20    90    0.0   -62.63      55.6    
0.0   1.5   20    90    0.1   -62.63      55.6    
0.0   1.5   20    90    0.2   -62.63      55.6    
0.0   1.5   30    80    0.0   -62.63      55.6    
0.0   1.5   30    80    0.1   -62.63      55.6    
0.0   1.5   30    80    0.2   -62.63      55.6    
0.0   1.5   30    90    0.0   -62.63      55.6    
0.0   1.5   30    90    0.1   -62.63      55.6    
0.0   1.5   30    90    0.2   -62.63      55.6    
0.0   1.5   20    100   0.0   -64.21      50.0    
0.0   1.5   20    100   0.1   -64.21      50.0    
0.0   1.5   20    100   0.2   -64.21      50.0    
0.0   1.5   30    100   0.0   -64.21      50.0    
0.0   1.5   30    100   0.1   -64.21      50.0    
0.0   1.5   30    100   0.2   -64.21      50.0    
1.0   3.5   20    90    0.0   -64.69      63.9    
1.0   3.5   30    90    0.0   -64.69      63.9    
2.0   3.5   40    100   0.0   -64.84      67.7    
2.0   3.0   40    80    0.0   -66.72      67.7    
2.0   3.0   40    90    0.0   -66.72      67.7    
1.0   2.5   20    90    0.0   -69.90      60.5    
1.0   2.5   30    90    0.0   -69.90      60.5    
2.0   3.0   40    100   0.0   -70.54      67.7    
1.0   2.5   20    100   0.0   -70.56      60.5    
1.0   2.5   30    100   0.0   -70.56      60.5    
1.0   3.5   40    90    0.0   -71.34      64.7    
2.0   1.5   40    80    0.0   -72.52      64.5    
2.0   1.5   40    90    0.0   -72.52      64.5    
0.0   2.5   40    80    0.0   -73.85      33.3    
0.0   2.5   40    80    0.1   -73.85      33.3    
0.0   2.5   40    80    0.2   -73.85      33.3    
0.0   2.5   40    90    0.0   -73.85      33.3    
0.0   2.5   40    90    0.1   -73.85      33.3    
0.0   2.5   40    90    0.2   -73.85      33.3    
1.0   3.5   20    80    0.0   -74.46      64.7    
1.0   3.5   30    80    0.0   -74.46      64.7    
2.0   1.5   20    80    0.0   -75.71      64.5    
2.0   1.5   20    90    0.0   -75.71      64.5    
2.0   1.5   30    80    0.0   -75.71      64.5    
2.0   1.5   30    90    0.0   -75.71      64.5    
2.0   2.0   40    80    0.0   -75.96      64.5    
2.0   2.0   40    90    0.0   -75.96      64.5    
2.0   1.5   40    100   0.0   -76.31      61.3    
0.0   2.0   40    100   0.0   -78.44      40.0    
0.0   2.0   40    100   0.1   -78.44      40.0    
0.0   2.0   40    100   0.2   -78.44      40.0    
2.0   1.5   20    100   0.0   -79.48      61.3    
2.0   1.5   30    100   0.0   -79.48      61.3    
2.0   2.0   40    100   0.0   -79.74      64.5    
2.0   2.5   40    80    0.0   -91.48      64.5    
2.0   2.5   40    90    0.0   -91.48      64.5    
0.0   2.5   40    100   0.0   -92.44      20.0    
0.0   2.5   40    100   0.1   -92.44      20.0    
0.0   2.5   40    100   0.2   -92.44      20.0    
2.0   2.5   40    100   0.0   -95.19      64.5    
